,tag,form,0
566,ORG,"['', 'sg n', 'pl kom']",1
567,ORG,"['', 'sg n', 'sg ad']",1
568,ORG,"['', 'sg n', 'sg all']",1
569,ORG,"['', 'sg n', 'sg g', '']",5
570,ORG,"['', 'sg n', 'sg g', '?']",1
571,ORG,"['', 'sg n', 'sg g', 'sg in']",2
572,ORG,"['', 'sg n', 'sg g']",15
2847,PER,"['', 'sg n', 'sg g']",2
573,ORG,"['', 'sg n', 'sg in', '']",1
574,ORG,"['', 'sg n', 'sg kom', '?']",1
575,ORG,"['', 'sg n', 'sg kom']",1
576,ORG,"['', 'sg n', 'sg n', '', '?', '', 'sg n']",1
577,ORG,"['', 'sg n', 'sg n', '']",5
578,ORG,"['', 'sg n', 'sg n', '?', 'sg n', '', '', 'sg g', 'sg g']",1
579,ORG,"['', 'sg n', 'sg n', 'sg n', 'sg n']",1
580,ORG,"['', 'sg n', 'sg n', 'sg n']",2
581,ORG,"['', 'sg n', 'sg n']",33
2848,PER,"['', 'sg n', 'sg n']",2
18,LOC,"['', 'sg n']",9
582,ORG,"['', 'sg n']",199
2849,PER,"['', 'sg n']",196
583,ORG,"['', 'sg p', 'pl n']",1
2850,PER,"['', 'sg p']",1
584,ORG,"['', 'sg p']",6
19,LOC,"['', 'sg p']",15
20,LOC,"['', 'sg ter']",1
585,ORG,"['', 'sg tr']",1
2851,PER,"['', 'sg tr']",1
586,ORG,"['', 'sid']",1
587,ORG,[''],330
2852,PER,[''],132
21,LOC,[''],2915
588,ORG,"['?', '', '', '', '?', '']",1
589,ORG,"['?', '', '', '?']",2
590,ORG,"['?', '', '']",4
591,ORG,"['?', '', '?', '', '?', '', '?', '', '?', '', '?']",1
592,ORG,"['?', '', '?', '', '?', '', '?', '', '?']",1
593,ORG,"['?', '', '?', '', '?', '', '?']",2
594,ORG,"['?', '', '?', '', '?', '', 'sg n', 'sg n', 'sg n']",3
595,ORG,"['?', '', '?', '', '?', '']",1
596,ORG,"['?', '', '?', '', '?', 'sg n']",2
597,ORG,"['?', '', '?', '', '?']",15
598,ORG,"['?', '', '?', '', 'sg g']",1
599,ORG,"['?', '', '?', '', 'sg n', '', '?', '', 'sg n', 'sg n', 'sg n', '', '?']",1
