,tag,form,0
880,ORG,"['?', 'sg n', '', '?', '', '?', '', 'sg n', 'sg n', 'sg n', '?']",1
881,ORG,"['?', 'sg n', '', '?', 'sg n', '', '', '', '?']",1
882,ORG,"['?', 'sg n', '', '?']",9
883,ORG,"['?', 'sg n', '', 'pl g']",1
884,ORG,"['?', 'sg n', '', 'sg el', '']",4
885,ORG,"['?', 'sg n', '', 'sg g']",1
886,ORG,"['?', 'sg n', '', 'sg n', '', '?']",2
887,ORG,"['?', 'sg n', '', 'sg n', '']",2
888,ORG,"['?', 'sg n', '', 'sg n', 'sg g', 'sg g', 'sg g']",1
889,ORG,"['?', 'sg n', '', 'sg n', 'sg g']",1
890,ORG,"['?', 'sg n', '', 'sg n', 'sg n']",1
891,ORG,"['?', 'sg n', '', 'sg n']",11
892,ORG,"['?', 'sg n', '']",37
893,ORG,"['?', 'sg n', '?', '', '', 'sg n']",1
894,ORG,"['?', 'sg n', '?', '', '?']",1
895,ORG,"['?', 'sg n', '?', '']",6
896,ORG,"['?', 'sg n', '?', '?', 'sg n']",1
897,ORG,"['?', 'sg n', '?', '?']",1
898,ORG,"['?', 'sg n', '?', 'sg abl']",1
899,ORG,"['?', 'sg n', '?', 'sg all']",1
900,ORG,"['?', 'sg n', '?', 'sg g', 'sg n']",1
901,ORG,"['?', 'sg n', '?', 'sg g']",10
902,ORG,"['?', 'sg n', '?', 'sg n', '']",4
903,ORG,"['?', 'sg n', '?', 'sg n', '?', 'sg n']",2
904,ORG,"['?', 'sg n', '?', 'sg n', 'sg n', '']",1
905,ORG,"['?', 'sg n', '?', 'sg n', 'sg n', 'sg kom']",3
906,ORG,"['?', 'sg n', '?', 'sg n', 'sg n', 'sg n', 'sg n']",1
907,ORG,"['?', 'sg n', '?', 'sg n', 'sg n', 'sg n']",1
2888,PER,"['?', 'sg n', '?', 'sg n']",3
908,ORG,"['?', 'sg n', '?', 'sg n']",10
2889,PER,"['?', 'sg n', '?']",2
909,ORG,"['?', 'sg n', '?']",37
58,LOC,"['?', 'sg n', '?']",1
910,ORG,"['?', 'sg n', 'adt']",1
911,ORG,"['?', 'sg n', 'pl g']",6
912,ORG,"['?', 'sg n', 'pl n', '']",2
913,ORG,"['?', 'sg n', 'pl n', 'sg g']",1
914,ORG,"['?', 'sg n', 'pl n', 'sg n']",6
915,ORG,"['?', 'sg n', 'pl n']",6
2890,PER,"['?', 'sg n', 'pl n']",1
916,ORG,"['?', 'sg n', 'pl p']",7
917,ORG,"['?', 'sg n', 'sg abl']",4
918,ORG,"['?', 'sg n', 'sg ad']",2
919,ORG,"['?', 'sg n', 'sg all', '']",1
920,ORG,"['?', 'sg n', 'sg all']",13
921,ORG,"['?', 'sg n', 'sg el', 'sg g', 'sg n']",1
922,ORG,"['?', 'sg n', 'sg el']",5
59,LOC,"['?', 'sg n', 'sg el']",1
923,ORG,"['?', 'sg n', 'sg g', '']",1
924,ORG,"['?', 'sg n', 'sg g', '?']",3
925,ORG,"['?', 'sg n', 'sg g', 'pl g', 'sg g', 'sg n']",1
926,ORG,"['?', 'sg n', 'sg g', 'pl g', 'sg g']",1
927,ORG,"['?', 'sg n', 'sg g', 'pl g']",1
928,ORG,"['?', 'sg n', 'sg g', 'pl n']",2
929,ORG,"['?', 'sg n', 'sg g', 'pl p']",1
930,ORG,"['?', 'sg n', 'sg g', 'sg all']",5
931,ORG,"['?', 'sg n', 'sg g', 'sg g', 'adt']",1
932,ORG,"['?', 'sg n', 'sg g', 'sg g', 'sg n']",1
933,ORG,"['?', 'sg n', 'sg g', 'sg g']",4
934,ORG,"['?', 'sg n', 'sg g', 'sg in', 'sg n', '', 'sg n']",1
935,ORG,"['?', 'sg n', 'sg g', 'sg in', 'sg n']",1
936,ORG,"['?', 'sg n', 'sg g', 'sg in']",4
937,ORG,"['?', 'sg n', 'sg g', 'sg n', '']",2
938,ORG,"['?', 'sg n', 'sg g', 'sg n', 'sg n']",2
939,ORG,"['?', 'sg n', 'sg g', 'sg n']",7
940,ORG,"['?', 'sg n', 'sg g', 'sg tr']",1
60,LOC,"['?', 'sg n', 'sg g']",2
941,ORG,"['?', 'sg n', 'sg g']",190
2891,PER,"['?', 'sg n', 'sg g']",6
942,ORG,"['?', 'sg n', 'sg ill']",3
943,ORG,"['?', 'sg n', 'sg in', '']",1
944,ORG,"['?', 'sg n', 'sg in', '?', 'sg n']",1
945,ORG,"['?', 'sg n', 'sg in', 'sg n']",8
61,LOC,"['?', 'sg n', 'sg in']",1
946,ORG,"['?', 'sg n', 'sg in']",16
2892,PER,"['?', 'sg n', 'sg kom']",1
947,ORG,"['?', 'sg n', 'sg kom']",19
948,ORG,"['?', 'sg n', 'sg n', '', 'sg n']",3
949,ORG,"['?', 'sg n', 'sg n', '']",21
950,ORG,"['?', 'sg n', 'sg n', '?', 'pl el']",1
951,ORG,"['?', 'sg n', 'sg n', '?', 'sg ill']",1
952,ORG,"['?', 'sg n', 'sg n', '?', 'sg n', '']",1
953,ORG,"['?', 'sg n', 'sg n', '?', 'sg n', 'sg n', 'sg n']",1
954,ORG,"['?', 'sg n', 'sg n', '?', 'sg n', 'sg n']",1
955,ORG,"['?', 'sg n', 'sg n', '?', 'sg n']",3
2893,PER,"['?', 'sg n', 'sg n', '?', 'sg n']",1
956,ORG,"['?', 'sg n', 'sg n', '?']",9
957,ORG,"['?', 'sg n', 'sg n', 'adt']",1
958,ORG,"['?', 'sg n', 'sg n', 'pl n']",3
959,ORG,"['?', 'sg n', 'sg n', 'sg all']",5
960,ORG,"['?', 'sg n', 'sg n', 'sg el']",1
961,ORG,"['?', 'sg n', 'sg n', 'sg g', '?']",1
962,ORG,"['?', 'sg n', 'sg n', 'sg g', 'pl g']",1
963,ORG,"['?', 'sg n', 'sg n', 'sg g', 'sg all']",1
964,ORG,"['?', 'sg n', 'sg n', 'sg g', 'sg g']",2
965,ORG,"['?', 'sg n', 'sg n', 'sg g']",19
966,ORG,"['?', 'sg n', 'sg n', 'sg in']",1
967,ORG,"['?', 'sg n', 'sg n', 'sg n', '']",3
968,ORG,"['?', 'sg n', 'sg n', 'sg n', '?']",2
969,ORG,"['?', 'sg n', 'sg n', 'sg n', 'sg el']",1
970,ORG,"['?', 'sg n', 'sg n', 'sg n', 'sg g']",3
971,ORG,"['?', 'sg n', 'sg n', 'sg n', 'sg n', 'sg n']",1
972,ORG,"['?', 'sg n', 'sg n', 'sg n', 'sg n']",9
973,ORG,"['?', 'sg n', 'sg n', 'sg n']",40
2894,PER,"['?', 'sg n', 'sg n', 'sg n']",4
974,ORG,"['?', 'sg n', 'sg n']",402
2895,PER,"['?', 'sg n', 'sg n']",82
975,ORG,"['?', 'sg n', 'sg p', '', 'sg n']",1
62,LOC,"['?', 'sg n', 'sg p']",1
976,ORG,"['?', 'sg n', 'sg p']",6
977,ORG,"['?', 'sg n']",3761
63,LOC,"['?', 'sg n']",133
2896,PER,"['?', 'sg n']",996
978,ORG,"['?', 'sg p', 'sg n', 'sg in']",1
979,ORG,"['?', 'sg p', 'sg n', 'sg n', 'sg n', 'sg n', '']",1
980,ORG,"['?', 'sg p', 'sg p']",1
2897,PER,"['?', 'sg p']",13
64,LOC,"['?', 'sg p']",5
981,ORG,"['?', 'sg p']",57
982,ORG,"['?', 'sg ter', 'sg n']",1
983,ORG,"['?', 'sg ter']",4
65,LOC,"['?', 'sg ter']",2
984,ORG,"['?', 'sg tr']",5
66,LOC,"['?', 'sg tr']",1
985,ORG,['?'],19443
2898,PER,['?'],1010
67,LOC,['?'],5094
986,ORG,"['adt', '', '']",1
987,ORG,"['adt', '', 'sg all']",1
988,ORG,"['adt', '', 'sg g']",3
68,LOC,"['adt', '', 'sg in']",1
989,ORG,"['adt', '', 'sg n', '']",1
990,ORG,"['adt', '']",5
69,LOC,"['adt', '']",2
991,ORG,"['adt', '?', 'pl n']",1
992,ORG,"['adt', '?', 'sg g']",1
993,ORG,"['adt', '?', 'sg in']",1
2899,PER,"['adt', '?']",2
994,ORG,"['adt', '?']",18
995,ORG,"['adt', 'adt', 'sg g']",1
996,ORG,"['adt', 'adt']",11
70,LOC,"['adt', 'adt']",3
71,LOC,"['adt', 'pl ad']",1
997,ORG,"['adt', 'pl g', 'pl g', 'sg g']",1
998,ORG,"['adt', 'pl g', 'sg g']",1
2900,PER,"['adt', 'sg abl']",1
999,ORG,"['adt', 'sg abl']",3
1000,ORG,"['adt', 'sg ad']",6
72,LOC,"['adt', 'sg ad']",1
73,LOC,"['adt', 'sg all']",2
1001,ORG,"['adt', 'sg all']",5
2901,PER,"['adt', 'sg all']",4
74,LOC,"['adt', 'sg el']",5
2902,PER,"['adt', 'sg el']",1
1002,ORG,"['adt', 'sg el']",4
1003,ORG,"['adt', 'sg g', '', 'sg g']",1
1004,ORG,"['adt', 'sg g', '']",1
1005,ORG,"['adt', 'sg g', '?']",1
1006,ORG,"['adt', 'sg g', 'adt']",3
1007,ORG,"['adt', 'sg g', 'pl g']",1
1008,ORG,"['adt', 'sg g', 'sg el']",1
1009,ORG,"['adt', 'sg g', 'sg g', 'sg all']",1
1010,ORG,"['adt', 'sg g', 'sg g', 'sg g']",1
1011,ORG,"['adt', 'sg g', 'sg g']",7
2903,PER,"['adt', 'sg g', 'sg n']",1
1012,ORG,"['adt', 'sg g', 'sg n']",2
1013,ORG,"['adt', 'sg g']",33
2904,PER,"['adt', 'sg g']",19
75,LOC,"['adt', 'sg g']",3
1014,ORG,"['adt', 'sg ill']",3
1015,ORG,"['adt', 'sg in', 'sg in']",2
2905,PER,"['adt', 'sg in']",1
1016,ORG,"['adt', 'sg in']",15
76,LOC,"['adt', 'sg in']",6
1017,ORG,"['adt', 'sg kom']",9
1018,ORG,"['adt', 'sg n', '?']",1
1019,ORG,"['adt', 'sg n', 'pl g']",1
1020,ORG,"['adt', 'sg n', 'sg g', 'sg g']",1
1021,ORG,"['adt', 'sg n', 'sg g']",3
1022,ORG,"['adt', 'sg n', 'sg n']",4
1023,ORG,"['adt', 'sg n', 'sg p']",1
2906,PER,"['adt', 'sg n']",38
1024,ORG,"['adt', 'sg n']",11
77,LOC,"['adt', 'sg n']",1
1025,ORG,"['adt', 'sg p']",4
78,LOC,"['adt', 'sg p']",1
1026,ORG,"['adt', 'sg tr']",1
2907,PER,['adt'],661
79,LOC,['adt'],2189
1027,ORG,['adt'],1349
2908,PER,"['b', '?']",1
1028,ORG,"['b', 'pl g', 'sg g']",1
1029,ORG,"['b', 'sg g', 'adt']",1
1030,ORG,"['b', 'sg g']",2
1031,ORG,"['b', 'sg n', 'sg all']",1
2909,PER,"['b', 'sg n']",5
1032,ORG,"['b', 'sg n']",1
2910,PER,['b'],20
1033,ORG,"['da', 'sg g']",1
2911,PER,['da'],3
1034,ORG,['da'],1
2912,PER,['des'],3
2913,PER,"['ge', 'sg abl']",2
1035,ORG,"['ge', 'sg n']",1
2914,PER,"['ge', 'sg n']",1
2915,PER,['ge'],1
2916,PER,['gem'],1
1036,ORG,"['gu', 'sg in']",1
2917,PER,"['ks', 'sg g']",1
1037,ORG,"['ksin', 'adt']",1
1038,ORG,"['ma', 'sg g']",1
1039,ORG,"['mata', 'sg el']",1
1040,ORG,"['me', 'sg g']",1
2918,PER,"['me', 'sg g']",1
2919,PER,"['me', 'sg n']",1
2920,PER,['me'],3
1041,ORG,"['n', '']",1
2921,PER,"['n', '?', '', 'sg n']",1
2922,PER,"['n', 'sg all']",1
1042,ORG,"['n', 'sg el']",1
2923,PER,"['n', 'sg g']",4
2924,PER,"['n', 'sg kom']",1
1043,ORG,"['n', 'sg n', '?', 'sg g']",1
2925,PER,"['n', 'sg n']",38
1044,ORG,"['n', 'sg n']",1
2926,PER,['n'],75
2927,PER,['neg o'],1
2928,PER,['neg'],1
1045,ORG,"['nud', 'sg g', 'sg g']",2
1046,ORG,"['nud', 'sg g', 'sg in']",1
1047,ORG,"['nud', 'sg g', 'sg n']",1
1048,ORG,"['nud', 'sg g']",4
1049,ORG,"['nud', 'sg kom']",1
1050,ORG,"['nud', 'sg n']",2
2929,PER,['nud'],1
2930,PER,"['o', 'pl g']",1
1051,ORG,"['o', 'sg abl']",1
1052,ORG,"['o', 'sg g']",6
2931,PER,"['o', 'sg g']",16
1053,ORG,"['o', 'sg in']",1
2932,PER,"['o', 'sg kom']",2
1054,ORG,"['o', 'sg n', '', '?']",1
1055,ORG,"['o', 'sg n', 'sg g', 'sg g']",1
2933,PER,"['o', 'sg n']",30
1056,ORG,"['o', 'sg n']",11
1057,ORG,['o'],9
2934,PER,['o'],52
80,LOC,['o'],1
1058,ORG,"['pl ab', 'sg g']",2
81,LOC,['pl ab'],1
1059,ORG,['pl abl'],2
82,LOC,['pl abl'],13
2935,PER,['pl abl'],9
2936,PER,"['pl ad', '?']",1
83,LOC,"['pl ad', 'pl in']",1
84,LOC,"['pl ad', 'sg g']",1
2937,PER,"['pl ad', 'sg g']",2
1060,ORG,"['pl ad', 'sg g']",2
1061,ORG,"['pl ad', 'sg in']",1
2938,PER,"['pl ad', 'sg kom']",2
85,LOC,"['pl ad', 'sg n', 'sg in']",1
2939,PER,"['pl ad', 'sg n']",7
2940,PER,['pl ad'],48
1062,ORG,['pl ad'],6
86,LOC,['pl ad'],30
2941,PER,"['pl all', 'sg abl']",1
2942,PER,"['pl all', 'sg ad']",2
1063,ORG,"['pl all', 'sg ad']",2
1064,ORG,"['pl all', 'sg g', 'sg g']",2
2943,PER,"['pl all', 'sg g']",2
1065,ORG,"['pl all', 'sg g']",1
2944,PER,"['pl all', 'sg kom']",1
1066,ORG,"['pl all', 'sg n']",1
2945,PER,"['pl all', 'sg n']",8
1067,ORG,['pl all'],7
2946,PER,['pl all'],46
87,LOC,['pl all'],31
1068,ORG,"['pl el', '?', 'sg n']",1
1069,ORG,"['pl el', 'sg g']",4
2947,PER,"['pl el', 'sg n']",1
1070,ORG,"['pl el', 'sg n']",2
1071,ORG,['pl el'],9
2948,PER,['pl el'],36
88,LOC,['pl el'],70
2949,PER,"['pl es', 'sg g']",1
1072,ORG,"['pl es', 'sg in']",1
1073,ORG,"['pl es', 'sg n']",1
89,LOC,['pl es'],3
90,LOC,"['pl g', '', 'pl g', '', 'sg g']",1
1074,ORG,"['pl g', '', 'pl g', 'adt']",1
1075,ORG,"['pl g', '', 'pl g', 'sg g']",6
1076,ORG,"['pl g', '', 'pl g', 'sg n']",13
1077,ORG,"['pl g', '', 'pl g']",6
1078,ORG,"['pl g', '', 'pl kom']",1
1079,ORG,"['pl g', '', 'sg g', 'sg g']",1
91,LOC,"['pl g', '', 'sg g']",1
1080,ORG,"['pl g', '', 'sg g']",12
1081,ORG,"['pl g', '', 'sg n']",2
92,LOC,"['pl g', '']",3
1082,ORG,"['pl g', '']",4
2950,PER,"['pl g', '']",5
1083,ORG,"['pl g', '?', '']",1
2951,PER,"['pl g', '?', 'sg g']",1
1084,ORG,"['pl g', '?', 'sg n']",1
1085,ORG,"['pl g', '?']",13
1086,ORG,"['pl g', 'adt', 'adt']",2
1087,ORG,"['pl g', 'adt']",24
93,LOC,"['pl g', 'adt']",40
2952,PER,"['pl g', 'adt']",1
1088,ORG,"['pl g', 'pl ad']",1
94,LOC,"['pl g', 'pl ad']",1
95,LOC,"['pl g', 'pl el']",1
1089,ORG,"['pl g', 'pl g', 'adt']",2
1090,ORG,"['pl g', 'pl g', 'pl g', 'sg g']",1
1091,ORG,"['pl g', 'pl g', 'pl g']",1
1092,ORG,"['pl g', 'pl g', 'sg abl']",2
1093,ORG,"['pl g', 'pl g', 'sg el', 'sg in']",1
1094,ORG,"['pl g', 'pl g', 'sg g', '?']",1
1095,ORG,"['pl g', 'pl g', 'sg g', 'sg el']",1
1096,ORG,"['pl g', 'pl g', 'sg g', 'sg g']",4
1097,ORG,"['pl g', 'pl g', 'sg g', 'sg in', 'sg g']",1
1098,ORG,"['pl g', 'pl g', 'sg g', 'sg in']",1
1099,ORG,"['pl g', 'pl g', 'sg g', 'sg n']",1
1100,ORG,"['pl g', 'pl g', 'sg g']",48
1101,ORG,"['pl g', 'pl g', 'sg in']",1
1102,ORG,"['pl g', 'pl g', 'sg kom']",1
1103,ORG,"['pl g', 'pl g', 'sg n', 'sg in', '', '?']",1
1104,ORG,"['pl g', 'pl g', 'sg n']",18
1105,ORG,"['pl g', 'pl g']",45
96,LOC,"['pl g', 'pl g']",3
97,LOC,"['pl g', 'pl in']",1
1106,ORG,"['pl g', 'pl in']",1
1107,ORG,"['pl g', 'pl kom']",2
98,LOC,"['pl g', 'pl kom']",1
99,LOC,"['pl g', 'pl n']",2
1108,ORG,"['pl g', 'pl n']",5
100,LOC,"['pl g', 'pl p']",2
101,LOC,"['pl g', 'sg ab']",1
1109,ORG,"['pl g', 'sg abl']",6
102,LOC,"['pl g', 'sg abl']",2
1110,ORG,"['pl g', 'sg ad']",8
2953,PER,"['pl g', 'sg ad']",1
103,LOC,"['pl g', 'sg ad']",3
1111,ORG,"['pl g', 'sg all', '', '?']",1
1112,ORG,"['pl g', 'sg all', 'sg g']",1
1113,ORG,"['pl g', 'sg all']",31
104,LOC,"['pl g', 'sg all']",25
105,LOC,"['pl g', 'sg el', 'adt']",1
1114,ORG,"['pl g', 'sg el', 'sg el']",1
1115,ORG,"['pl g', 'sg el', 'sg g', 'adt']",1
1116,ORG,"['pl g', 'sg el']",28
106,LOC,"['pl g', 'sg el']",33
1117,ORG,"['pl g', 'sg g', '', 'pl g', 'sg g', 'sg g']",2
1118,ORG,"['pl g', 'sg g', '', 'pl g', 'sg g', 'sg n']",2
1119,ORG,"['pl g', 'sg g', '', 'sg g']",1
1120,ORG,"['pl g', 'sg g', '', 'sg n']",1
1121,ORG,"['pl g', 'sg g', '']",4
107,LOC,"['pl g', 'sg g', '']",1
1122,ORG,"['pl g', 'sg g', '?']",3
1123,ORG,"['pl g', 'sg g', 'adt']",1
108,LOC,"['pl g', 'sg g', 'pl el']",3
1124,ORG,"['pl g', 'sg g', 'pl g', 'sg g']",2
1125,ORG,"['pl g', 'sg g', 'pl g']",3
1126,ORG,"['pl g', 'sg g', 'pl in']",1
109,LOC,"['pl g', 'sg g', 'pl in']",4
1127,ORG,"['pl g', 'sg g', 'pl n']",1
1128,ORG,"['pl g', 'sg g', 'sg ad']",1
1129,ORG,"['pl g', 'sg g', 'sg all', '']",1
1130,ORG,"['pl g', 'sg g', 'sg all']",2
1131,ORG,"['pl g', 'sg g', 'sg g', '']",1
1132,ORG,"['pl g', 'sg g', 'sg g', 'adt']",1
1133,ORG,"['pl g', 'sg g', 'sg g', 'sg g', 'sg in']",1
1134,ORG,"['pl g', 'sg g', 'sg g', 'sg g']",12
1135,ORG,"['pl g', 'sg g', 'sg g', 'sg in', 'sg in']",1
1136,ORG,"['pl g', 'sg g', 'sg g', 'sg in']",1
1137,ORG,"['pl g', 'sg g', 'sg g', 'sg n']",1
1138,ORG,"['pl g', 'sg g', 'sg g']",44
110,LOC,"['pl g', 'sg g', 'sg g']",2
1139,ORG,"['pl g', 'sg g', 'sg ill']",2
1140,ORG,"['pl g', 'sg g', 'sg in', 'sg g']",1
111,LOC,"['pl g', 'sg g', 'sg in']",2
1141,ORG,"['pl g', 'sg g', 'sg in']",6
1142,ORG,"['pl g', 'sg g', 'sg kom']",1
1143,ORG,"['pl g', 'sg g', 'sg n', 'sg n']",2
1144,ORG,"['pl g', 'sg g', 'sg n']",41
1145,ORG,"['pl g', 'sg g', 'sg p']",2
112,LOC,"['pl g', 'sg g']",392
2954,PER,"['pl g', 'sg g']",19
1146,ORG,"['pl g', 'sg g']",581
1147,ORG,"['pl g', 'sg ill']",8
113,LOC,"['pl g', 'sg in', '', 'sg in']",2
1148,ORG,"['pl g', 'sg in', 'sg g']",3
1149,ORG,"['pl g', 'sg in', 'sg in']",3
114,LOC,"['pl g', 'sg in', 'sg in']",1
1150,ORG,"['pl g', 'sg in', 'sg n']",1
1151,ORG,"['pl g', 'sg in']",104
115,LOC,"['pl g', 'sg in']",129
1152,ORG,"['pl g', 'sg kom', '']",1
1153,ORG,"['pl g', 'sg kom']",16
116,LOC,"['pl g', 'sg kom']",18
1154,ORG,"['pl g', 'sg n', '', '', 'sg n']",1
1155,ORG,"['pl g', 'sg n', '', '?', '', '?']",1
1156,ORG,"['pl g', 'sg n', '']",5
1157,ORG,"['pl g', 'sg n', 'sg g', 'sg g']",1
1158,ORG,"['pl g', 'sg n', 'sg g']",2
1159,ORG,"['pl g', 'sg n', 'sg in']",1
1160,ORG,"['pl g', 'sg n', 'sg n', 'sg n', 'sg g', 'sg n']",1
1161,ORG,"['pl g', 'sg n', 'sg n']",9
1162,ORG,"['pl g', 'sg n']",278
2955,PER,"['pl g', 'sg n']",38
117,LOC,"['pl g', 'sg n']",106
1163,ORG,"['pl g', 'sg p']",12
118,LOC,"['pl g', 'sg p']",7
1164,ORG,"['pl g', 'sg tr', '']",1
1165,ORG,"['pl g', 'tud', 'sg g']",2
1166,ORG,['pl g'],389
2956,PER,['pl g'],608
119,LOC,['pl g'],1533
1167,ORG,"['pl ill', 'sg n']",1
2957,PER,['pl ill'],2
120,LOC,['pl ill'],63
1168,ORG,['pl ill'],3
2958,PER,"['pl in', 'pl g']",1
2959,PER,"['pl in', 'sg n', 'sg n']",1
1169,ORG,"['pl in', 'sg n']",1
121,LOC,['pl in'],377
1170,ORG,['pl in'],5
2960,PER,['pl in'],2
1171,ORG,"['pl kom', 'pl g', 'sg g']",2
1172,ORG,"['pl kom', 'pl g', 'sg n']",2
1173,ORG,"['pl kom', 'sg g', 'sg n']",1
122,LOC,"['pl kom', 'sg g']",1
1174,ORG,"['pl kom', 'sg n']",1
2961,PER,['pl kom'],26
123,LOC,['pl kom'],29
1175,ORG,['pl kom'],11
2962,PER,"['pl n', '', '']",1
2963,PER,"['pl n', '', '?', 'sg n']",1
2964,PER,"['pl n', '', '?']",2
1176,ORG,"['pl n', '', '?']",1
2965,PER,"['pl n', '', 'pl n']",1
1177,ORG,"['pl n', '', 'pl n']",3
2966,PER,"['pl n', '', 'sg g']",2
1178,ORG,"['pl n', '', 'sg g']",1
1179,ORG,"['pl n', '', 'sg n']",4
2967,PER,"['pl n', '']",2
1180,ORG,"['pl n', '']",1
1181,ORG,"['pl n', '?', '', '?', '', '?']",1
2968,PER,"['pl n', '?', '', 'sg n']",1
1182,ORG,"['pl n', '?', '']",3
1183,ORG,"['pl n', '?', 'sg g', 'sg g', 'sg g']",1
1184,ORG,"['pl n', '?', 'sg g']",3
1185,ORG,"['pl n', '?', 'sg n', '']",1
2969,PER,"['pl n', '?', 'sg n']",1
1186,ORG,"['pl n', '?', 'sg n']",8
1187,ORG,"['pl n', '?']",10
2970,PER,"['pl n', '?']",5
1188,ORG,"['pl n', 'n']",1
1189,ORG,"['pl n', 'pl g', 'sg g']",1
2971,PER,"['pl n', 'pl g']",1
1190,ORG,"['pl n', 'pl g']",1
1191,ORG,"['pl n', 'pl kom']",1
2972,PER,"['pl n', 'pl kom']",3
1192,ORG,"['pl n', 'pl n', 'sg n']",1
2973,PER,"['pl n', 'pl n', 'sg n']",2
1193,ORG,"['pl n', 'pl n']",12
2974,PER,"['pl n', 'pl n']",43
124,LOC,"['pl n', 'pl n']",2
2975,PER,"['pl n', 'pl p']",1
1194,ORG,"['pl n', 'sg abl']",2
2976,PER,"['pl n', 'sg abl']",2
1195,ORG,"['pl n', 'sg ad', 'sg g', 'sg in']",1
1196,ORG,"['pl n', 'sg ad', 'sg g']",1
1197,ORG,"['pl n', 'sg ad']",3
2977,PER,"['pl n', 'sg ad']",2
2978,PER,"['pl n', 'sg all']",2
125,LOC,"['pl n', 'sg all']",1
1198,ORG,"['pl n', 'sg all']",3
2979,PER,"['pl n', 'sg el']",6
1199,ORG,"['pl n', 'sg el']",3
1200,ORG,"['pl n', 'sg es', 'sg n']",1
1201,ORG,"['pl n', 'sg g', '', 'sg g', '?']",1
1202,ORG,"['pl n', 'sg g', '', 'sg g']",1
1203,ORG,"['pl n', 'sg g', 'adt']",1
1204,ORG,"['pl n', 'sg g', 'pl all']",1
1205,ORG,"['pl n', 'sg g', 'pl el']",1
1206,ORG,"['pl n', 'sg g', 'pl in']",2
1207,ORG,"['pl n', 'sg g', 'sg ad']",1
1208,ORG,"['pl n', 'sg g', 'sg g', 'sg abl']",1
1209,ORG,"['pl n', 'sg g', 'sg g', 'sg in']",1
2980,PER,"['pl n', 'sg g', 'sg g']",2
1210,ORG,"['pl n', 'sg g', 'sg g']",9
1211,ORG,"['pl n', 'sg g', 'sg in']",8
1212,ORG,"['pl n', 'sg g', 'sg n']",3
1213,ORG,"['pl n', 'sg g']",62
2981,PER,"['pl n', 'sg g']",106
2982,PER,"['pl n', 'sg ill']",1
1214,ORG,"['pl n', 'sg in', '']",4
1215,ORG,"['pl n', 'sg in', 'sg n']",1
2983,PER,"['pl n', 'sg in']",7
1216,ORG,"['pl n', 'sg in']",2
126,LOC,"['pl n', 'sg in']",1
2984,PER,"['pl n', 'sg kom']",16
1217,ORG,"['pl n', 'sg kom']",4
1218,ORG,"['pl n', 'sg n', '', '?', '', 'sg g']",1
1219,ORG,"['pl n', 'sg n', '', '?']",3
1220,ORG,"['pl n', 'sg n', '', 'sg n', '']",1
1221,ORG,"['pl n', 'sg n', '', 'sg n', 'sg n', 'sg n']",2
1222,ORG,"['pl n', 'sg n', '', 'sg n', 'sg n']",1
1223,ORG,"['pl n', 'sg n', '']",9
1224,ORG,"['pl n', 'sg n', '?', '?']",3
1225,ORG,"['pl n', 'sg n', '?', 'sg n']",1
1226,ORG,"['pl n', 'sg n', '?']",3
2985,PER,"['pl n', 'sg n', '?']",1
1227,ORG,"['pl n', 'sg n', 'pl n', 'pl n', 'sg n']",2
1228,ORG,"['pl n', 'sg n', 'pl n', 'sg n', 'sg n']",1
2986,PER,"['pl n', 'sg n', 'pl n', 'sg n']",1
1229,ORG,"['pl n', 'sg n', 'pl n']",1
2987,PER,"['pl n', 'sg n', 'pl n']",1
1230,ORG,"['pl n', 'sg n', 'sg g']",11
2988,PER,"['pl n', 'sg n', 'sg g']",7
1231,ORG,"['pl n', 'sg n', 'sg in', 'sg g']",1
1232,ORG,"['pl n', 'sg n', 'sg in']",1
2989,PER,"['pl n', 'sg n', 'sg kom']",2
1233,ORG,"['pl n', 'sg n', 'sg n', '', 'sg n']",1
1234,ORG,"['pl n', 'sg n', 'sg n', '']",1
1235,ORG,"['pl n', 'sg n', 'sg n', 'sg g']",1
1236,ORG,"['pl n', 'sg n', 'sg n', 'sg n', 'sg n', 'sg n', 'pl n', '', 'pl n']",1
2990,PER,"['pl n', 'sg n', 'sg n', 'sg n', 'sg n', 'sg n']",1
1237,ORG,"['pl n', 'sg n', 'sg n', 'sg n', 'sg n']",1
2991,PER,"['pl n', 'sg n', 'sg n', 'sg n']",5
1238,ORG,"['pl n', 'sg n', 'sg n', 'sg n']",6
2992,PER,"['pl n', 'sg n', 'sg n']",38
1239,ORG,"['pl n', 'sg n', 'sg n']",39
1240,ORG,"['pl n', 'sg n', 'sg p']",1
1241,ORG,"['pl n', 'sg n']",121
2993,PER,"['pl n', 'sg n']",373
127,LOC,"['pl n', 'sg p']",1
1242,ORG,"['pl n', 'sg p']",1
2994,PER,"['pl n', 'sg p']",3
2995,PER,"['pl n', 'sg tr']",1
2996,PER,['pl n'],1401
128,LOC,['pl n'],195
1243,ORG,['pl n'],369
1244,ORG,"['pl p', '', '?']",3
1245,ORG,"['pl p', '', 'pl p']",1
129,LOC,"['pl p', '', 'sg g']",1
1246,ORG,"['pl p', '', 'sg g']",1
1247,ORG,"['pl p', '', 'sg p']",1
2997,PER,"['pl p', '?', '', 'sg n']",2
2998,PER,"['pl p', '?', '?']",1
130,LOC,"['pl p', '?', 'adt']",1
