,lemma,tag,0
231,Ahas Tii,PER,2
232,Ahašeni,ORG,1
233,Ahašeni,PER,1
234,Ahlström,LOC,1
235,Ahlström,ORG,1
236,Ahma Shah Massou,ORG,1
237,Ahma Shah Massou,PER,1
238,Ahme Hashem,ORG,1
239,Ahme Hashem,PER,2
240,Ahme Porkveli,ORG,4
241,Ahme Porkveli,PER,12
242,Ahmic,LOC,1
243,Ahmic,PER,16
244,Ahonen,ORG,1
245,Ahonen,PER,23
246,Ahter,LOC,10
247,Ahter,ORG,16
248,Ahter,PER,5
249,Ahter Pub,ORG,2
250,Ahter Pub,PER,1
251,Ahti,ORG,1
252,Ahti,PER,10
253,Ahti Puudersell,ORG,1
254,Ahti Puudersell,PER,2
255,Ahti Seppet,ORG,1
256,Ahti Seppet,PER,5
257,Ahti-Kullervo,LOC,1
258,Ahti-Kullervo,PER,23
259,Ahti-Kullervo jõgi,LOC,1
260,Ahti-Kullervo jõgi,PER,1
261,Ahuuja,LOC,4
262,Ahuuja,PER,7
263,Aia,ORG,2
264,Aia,PER,4
265,Aida,LOC,1
266,Aida,PER,1
267,Aidem Pot,ORG,1
268,Aidem Pot,PER,9
269,Aidi Vallik,ORG,1
270,Aidi Vallik,PER,4
271,Aidu,LOC,4
272,Aidu,ORG,6
273,Aidu,PER,5
274,Aiesec,ORG,1
275,Aiesec,PER,3
276,Aika,LOC,2
277,Aika,ORG,9
278,Aika,PER,9
279,Aila Meriluoto,ORG,1
280,Aila Meriluoto,PER,15
281,Aimar Kajar,ORG,1
282,Aimar Kajar,PER,1
283,Aimla,LOC,1
284,Aimla,PER,3
285,Ain,LOC,1
286,Ain,PER,98
287,Ain Saar,LOC,1
288,Ain Saar,PER,1
289,Ainazhi,ORG,1
290,Ainazhi,PER,1
291,Ainjärv,ORG,1
292,Ainjärv,PER,4
293,Aino,LOC,1
294,Aino,PER,23
295,Airbus,LOC,1
296,Airbus,ORG,1
297,Airbus,PER,1
298,Aires,LOC,1
299,Aires,PER,1
300,Aita,LOC,2
301,Aita,ORG,1
302,Aita,PER,8
303,Aivar,LOC,1
304,Aivar,PER,250
305,Aivar sool,ORG,1
306,Aivar sool,PER,1
307,Aivi Ohtla,LOC,1
308,Aivi Ohtla,ORG,1
309,Ajax,LOC,1
310,Ajax,ORG,7
311,Ajax,PER,18
312,Ajax Amsterdam,ORG,1
313,Ajax Amsterdam,PER,11
314,Ajaxi,ORG,1
315,Ajaxi,PER,3
316,Ajtmatov,LOC,1
317,Ajtmatov,PER,22
318,Aka,LOC,1
319,Aka,PER,1
320,Akadeemia,LOC,5
321,Akadeemia,ORG,54
322,Akadeemia,PER,8
323,Akateeminen Kirjakauppa,ORG,1
324,Akateeminen Kirjakauppa,PER,2
325,Aki,LOC,1
326,Aki,PER,12
327,Akkel,LOC,1
328,Akkel,PER,2
329,Akriko,ORG,1
330,Akriko,PER,1
331,Akropol,LOC,4
332,Akropol,ORG,2
333,Akropol,PER,2
334,Aksel,LOC,1
335,Aksel,PER,16
336,Aktion,LOC,1
337,Aktion,PER,1
338,Aktuaalne kaamera,ORG,15
339,Aktuaalne kaamera,PER,1
340,Akvarium,LOC,1
341,Akvarium,ORG,6
342,Akvarium,PER,5
343,Al Capone,ORG,4
344,Al Capone,PER,5
345,Al Gore,ORG,7
346,Al Gore,PER,21
347,Al Green,ORG,1
348,Al Green,PER,1
349,Al Pacino,ORG,3
350,Al Pacino,PER,16
351,Al-Quds,ORG,2
352,Al-Quds,PER,1
353,Aladdin,LOC,1
354,Aladdin,ORG,1
355,Aladdin,PER,3
356,Alaküla,LOC,1
357,Alaküla,PER,3
358,Alambra,LOC,4
359,Alambra,PER,4
360,Alamos,LOC,1
361,Alamos,PER,1
362,Alarmtec,ORG,1
363,Alarmtec,PER,2
364,Alas-Eweco,LOC,2
365,Alas-Eweco,ORG,1
366,Alas-Eweco,PER,9
367,Albacete,LOC,1
368,Albacete,ORG,2
369,Albacete,PER,1
370,Albacomp,LOC,10
371,Albacomp,ORG,4
372,Albacomp,PER,13
373,Albin,LOC,1
374,Albin,PER,3
375,Albohhadzhijev,LOC,1
376,Albohhadzhijev,PER,4
377,Albrecht,LOC,1
378,Albrecht,PER,1
379,Albright,LOC,1
380,Albright,PER,11
381,Alcatel,LOC,2
382,Alcatel,PER,4
383,Alcatraz,LOC,2
384,Alcatraz,PER,1
385,Alchemy,ORG,3
386,Alchemy,PER,2
387,Alcon,LOC,5
388,Alcon,ORG,5
389,Alcon,PER,2
390,Aldaris,LOC,2
391,Aldaris,ORG,2
392,Alechinsky,ORG,1
393,Alechinsky,PER,1
394,Alehhan Albohhadzhijev,ORG,1
395,Alehhan Albohhadzhijev,PER,2
396,Aleksander,LOC,4
397,Aleksander,ORG,35
398,Aleksander,PER,63
399,Aleksander Aberg,ORG,1
400,Aleksander Aberg,PER,1
401,Aleksander Arder,ORG,1
402,Aleksander Arder,PER,2
403,Aleksander Aspel,ORG,2
404,Aleksander Aspel,PER,5
405,Aleksander Buzin,ORG,1
406,Aleksander Buzin,PER,2
407,Aleksander Denisoff,ORG,1
408,Aleksander Denisoff,PER,1
409,Aleksander Eelmaa,ORG,14
410,Aleksander Eelmaa,PER,5
411,Aleksander Eller,ORG,3
412,Aleksander Eller,PER,2
413,Aleksander I,ORG,4
414,Aleksander I,PER,4
415,Aleksander Jakovlev,ORG,3
416,Aleksander Jakovlev,PER,1
417,Aleksander Jõgipõld,ORG,1
418,Aleksander Jõgipõld,PER,1
419,Aleksander Karavajev,ORG,1
420,Aleksander Karavajev,PER,1
421,Aleksander Kesküla,ORG,9
422,Aleksander Kesküla,PER,4
423,Aleksander Kirm,ORG,8
424,Aleksander Kirm,PER,5
425,Aleksander Kofkin,ORG,1
426,Aleksander Kofkin,PER,1
427,Aleksander Kokin,ORG,1
428,Aleksander Kokin,PER,1
429,Aleksander Kovaltshuk,ORG,1
430,Aleksander Kovaltshuk,PER,1
431,Aleksander Kurtna,LOC,1
432,Aleksander Kurtna,ORG,1
433,Aleksander Kurtna,PER,6
434,Aleksander Kustov,ORG,1
435,Aleksander Kustov,PER,6
436,Aleksander Kägu,ORG,3
437,Aleksander Kägu,PER,8
438,Aleksander Lebe,ORG,4
439,Aleksander Lebe,PER,3
440,Aleksander Lebed,ORG,1
441,Aleksander Lebed,PER,2
442,Aleksander Linkov,ORG,1
443,Aleksander Linkov,PER,1
444,Aleksander Lõhmus,ORG,2
445,Aleksander Lõhmus,PER,3
446,Aleksander Moistus,ORG,3
447,Aleksander Moistus,PER,1
448,Aleksander Monakov,ORG,2
449,Aleksander Monakov,PER,7
450,Aleksander Müller,ORG,11
451,Aleksander Müller,PER,4
452,Aleksander Pilar,ORG,1
453,Aleksander Pilar,PER,1
454,Aleksander Puhk,ORG,2
455,Aleksander Puhk,PER,1
456,Aleksander Pulver,ORG,1
457,Aleksander Pulver,PER,8
458,Aleksander Rosenberg,ORG,2
459,Aleksander Rosenberg,PER,1
460,Aleksander Suur,ORG,17
461,Aleksander Suur,PER,2
462,Aleksander Vardi,ORG,6
463,Aleksander Vardi,PER,6
464,Aleksander Veingold,ORG,4
465,Aleksander Veingold,PER,2
466,Alero,LOC,2
467,Alero,PER,4
468,Alesma,ORG,1
469,Alesma,PER,6
470,Alex,LOC,1
471,Alex,PER,25
472,Alexanderplatz,LOC,1
473,Alexanderplatz,PER,1
474,Alexandria,LOC,3
475,Alexandria,PER,4
476,Alexela,LOC,13
477,Alexela,ORG,15
478,Alexela,PER,16
479,Alexela Oil,ORG,4
480,Alexela Oil,PER,1
481,Alfastar,LOC,1
482,Alfastar,ORG,1
483,Alfastar,PER,1
484,Alg,LOC,3
485,Alg,ORG,1
486,Alhazurovo,LOC,1
487,Alhazurovo,ORG,1
488,Ali,LOC,6
489,Ali,ORG,1
490,Ali,PER,19
491,Alice In Chains,ORG,3
492,Alice In Chains,PER,5
493,Alien,LOC,1
494,Alien,ORG,1
495,Alimo,LOC,1
496,Alimo,PER,1
497,Alina,LOC,3
498,Alina,PER,12
499,Alis,LOC,1
500,Alis,PER,8
501,Aljoša,ORG,2
502,Aljoša,PER,15
503,Alke grupp,ORG,1
504,Alke grupp,PER,1
505,Allan,LOC,1
506,Allan,PER,107
507,Allfilm,ORG,2
508,Allfilm,PER,3
509,Allianz,LOC,1
510,Allianz,ORG,1
511,Allianz,PER,1
512,Allikmaa,LOC,3
513,Allikmaa,PER,29
514,Alliksoo,LOC,1
515,Alliksoo,PER,1
516,Allsvenskan,LOC,1
517,Allsvenskan,PER,2
518,Alltracel,LOC,1
519,Alltracel,PER,3
520,Alma-Ata,LOC,5
521,Alma-Ata,ORG,1
522,Alma-Ata,PER,1
523,Almelo,LOC,1
524,Almelo,ORG,1
525,Almodovar,ORG,1
526,Almodovar,PER,3
527,Almodóvar,LOC,3
528,Almodóvar,ORG,1
529,Almodóvar,PER,20
530,Alo,LOC,2
531,Alo,PER,18
532,Alphaville,ORG,1
533,Alphaville,PER,1
534,Alsace,LOC,29
535,Alsace,PER,3
536,Alsace Gewürtztraminer,ORG,1
537,Alsace Gewürtztraminer,PER,1
538,Alsace Riesling,ORG,1
539,Alsace Riesling,PER,3
540,Alter Ego,ORG,1
541,Alter Ego,PER,2
542,Alternaria,LOC,1
543,Alternaria,PER,8
544,Alternatiiv,ORG,1
545,Alternatiiv,PER,1
546,Alternatiivina,LOC,1
547,Alternatiivina,PER,1
548,Althorp,LOC,2
549,Althorp,PER,6
550,Alti Vahkal,ORG,2
551,Alti Vahkal,PER,5
552,Altor,ORG,1
553,Altor,PER,1
554,Altosaar,ORG,2
555,Altosaar,PER,3
556,Aluksne,LOC,1
557,Aluksne,ORG,3
558,Aluksne,PER,1
559,Alver,ORG,12
560,Alver,PER,36
561,Alvik,ORG,2
562,Alvik,PER,2
563,Always,LOC,1
564,Always,ORG,1
565,Always,PER,2
566,Alzheeria,LOC,53
567,Alzheeria,ORG,8
568,Alzheeria,PER,1
569,Alzheimer,LOC,4
570,Alzheimer,ORG,3
571,Alzheimer,PER,7
572,Alzhiir,LOC,1
573,Alzhiir,ORG,1
574,Alzhiir,PER,2
575,Ama,LOC,2
576,Ama,ORG,3
577,Ama,PER,20
578,Amanda,ORG,1
579,Amanda,PER,23
580,Amarellius,LOC,2
581,Amarellius,PER,4
582,Amarüllus,LOC,3
583,Amarüllus,ORG,5
584,Amarüllus,PER,1
585,Amazon,LOC,8
586,Amazon,PER,8
587,Amazoonia,LOC,1
588,Amazoonia,ORG,1
589,Ameerika Vogue,LOC,1
590,Ameerika Vogue,ORG,1
591,Ameerika mägi,LOC,2
592,Ameerika mägi,ORG,1
